Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"MS evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific NX"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific NX"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific NX"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific NX"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific NX"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific pTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific pTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"
ENSG00000172339	ALG14	MGC19780	"ALG14, UDP-N-acetylglucosaminyltransferase subunit"	Q96F25	1	94974407-95072945	"Disease related genes, Predicted membrane proteins"			"Congenital myasthenic syndrome, Disease mutation"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA031829	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA031829: "
ENSG00000141552	ANAPC11	"APC11, Apc11p, HSPC214, MGC882"	"Anaphase promoting complex subunit 11"	Q9NYG5	17	81890790-81900991	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"											"HPA021989, HPA027838"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA021989: AB_1844915, HPA027838: AB_10600978"
ENSG00000148677	ANKRD1	"ALRP, C-193, CARP, CVARP, MCARP"	"Ankyrin repeat domain 1"	Q15327	10	90912096-90921276	"Disease related genes, Predicted intracellular proteins"			"Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	81	"heart muscle: 398.9;skeletal muscle: 333.3"	"Cell line enhanced"	"Detected in some"		"CACO-2: 37.6;EFO-21: 103.9;HUVEC TERT2: 35.4;LHCN-M2: 127.6;TIME: 177.6"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 7.5"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA038736	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"HPA038736: "
ENSG00000132466	ANKRD17	"FLJ22206, GTAR, KIAA0697, MASK2, NY-BR-16"	"Ankyrin repeat domain 17"	O75179	4	73073376-73258798	"Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, Immunity, Innate immunity"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045024, HPA063731"	Approved		Supported	"Nucleoplasm,Nuclear membrane"		Nucleoplasm	"Nuclear membrane"	"HPA045024: AB_10964778, HPA063731: "
ENSG00000074855	ANO8	"KIAA1623, TMEM16H"	"Anoctamin 8"	Q9HCE9	19	17323223-17334829	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 30.6"	"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in single"		"plasmacytoid DC: 1.8"	"Low lineage specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA031787, HPA049206"	Uncertain		Uncertain	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"HPA031787: , HPA049206: "
ENSG00000109511	ANXA10	ANX14	"Annexin A10"	Q9UJ72	4	168092515-168187690	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"gallbladder: 33.5;stomach 1: 105.3"	"Group enriched"	"Detected in some"	6	"PC-3: 41.0;RT4: 55.4"	"Group enriched"	"Detected in many"	5	"pancreatic cancer: 62.4;stomach cancer: 42.2;urothelial cancer: 19.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA005469	Enhanced		Approved	Nucleoplasm,Nucleoli,Vesicles		"Nucleoplasm, Nucleoli"	Vesicles	"HPA005469: AB_1844849"
ENSG00000169188	APEX2	"APE2, APEXL2, XTH2, ZGRF2"	"Apurinic/apyrimidinic endodeoxyribonuclease 2"	Q9UBZ4	X	55000357-55009057	"Enzymes, Predicted intracellular proteins"	"Cell cycle, DNA damage, DNA recombination, DNA repair"	"DNA-binding, Endonuclease, Exonuclease, Hydrolase, Lyase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"							HPA048577			Supported	"Nucleoplasm,Nucleoli fibrillar center,Vesicles"		"Nucleoplasm, Nucleoli fibrillar center"	Vesicles	"HPA048577: "
ENSG00000137074	APTX	"AOA, AOA1, AXA1, EAOH, EOAHA, FLJ20157"	Aprataxin	Q7Z2E3	9	32972606-33025168	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair"	"DNA-binding, Hydrolase"	"Disease mutation, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA064930	Supported		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA064930: "
ENSG00000078061	ARAF	ARAF1	"A-Raf proto-oncogene, serine/threonine kinase"	P10398	X	47561100-47571920	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	Proto-oncogene	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA046188, HPA066326"	Approved		Approved	"Nucleoplasm,Nucleoli fibrillar center"		"Nucleoli fibrillar center"	Nucleoplasm	"HPA046188: AB_2679578, HPA066326: AB_2685659"
ENSG00000196843	ARID5A	"MRF-1, RP11-363D14"	"AT-rich interaction domain 5A"	Q03989	2	96536743-96552638	"Predicted intracellular proteins, Transcription factors"	"Immunity, Innate immunity, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"HDLM-2: 71.4;RPMI-8226: 31.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA002860, HPA023879"	Approved		Supported	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA002860: , HPA023879: AB_1845014"
ENSG00000029153	ARNTL2	"bHLHe6, BMAL2, CLIF, MOP9, PASD9"	"Aryl hydrocarbon receptor nuclear translocator like 2"	Q8WYA1	12	27332854-27425289	"Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 30.0"	"Cell line enhanced"	"Detected in many"		"HDLM-2: 34.6;U-2197: 47.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"basophil: 4.5"	"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA059074	Uncertain		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA059074: "
ENSG00000198356	ASNA1	"ARSA-I, GET3, TRC40"	"ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	O43681	19	12737139-12748323	"Predicted intracellular proteins, Transporters"	Transport	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045951, HPA048087"	Approved		Enhanced	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA045951: , HPA048087: "
ENSG00000171456	ASXL1	KIAA0978	"Additional sex combs like 1, transcriptional regulator"	Q8IXJ9	20	32358330-32439319	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation, Ubl conjugation pathway"	"Chromatin regulator, Repressor"	"Cancer-related genes, Craniosynostosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA064156			Approved	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA064156: "
ENSG00000162772	ATF3		"Activating transcription factor 3"	P18847	1	212565334-212620777	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"seminal vesicle: 138.4"	"Cell line enhanced"	"Detected in many"		"BEWO: 43.4;HDLM-2: 31.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"basophil: 6.1;intermediate monocyte: 5.5;myeloid DC: 2.2;non-classical monocyte: 8.1"	"Group enriched"	"Detected in many"	12	"dendritic cells: 2.2;granulocytes: 6.1;monocytes: 8.1"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in some"			HPA001562	Approved		Supported	Nucleoplasm,Nucleoli		"Nucleoplasm, Nucleoli"		"HPA001562: AB_1078233"
ENSG00000213676	ATF6B	"CREBL1, G13"	"Activating transcription factor 6 beta"	Q99941	6	32115264-32128253	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation, Unfolded protein response"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046871	Uncertain		Approved	Nucleoplasm,Nucleoli		Nucleoplasm	Nucleoli	"HPA046871: AB_10963542"
ENSG00000152348	ATG10	"APG10L, DKFZP586I0418, FLJ13954"	"Autophagy related 10"	Q9H0Y0	5	81972025-82276857	"Predicted intracellular proteins"	"Autophagy, Protein transport, Transport, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044163	Approved		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"HPA044163: "
ENSG00000116039	ATP6V1B1	"ATP6B1, RTA1B, VATB, Vma2, VPP3"	"ATPase H+ transporting V1 subunit B1"	P15313	2	70935868-70965431	"Disease related genes, Predicted intracellular proteins"	"Hydrogen ion transport, Ion transport, Transport"	Hydrolase	"Deafness, Disease mutation"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"kidney: 37.9;placenta: 29.0;salivary gland: 106.9"	"Group enriched"	"Detected in some"	9	"BEWO: 13.5;HaCaT: 12.4;SK-BR-3: 30.6"	"Group enriched"	"Detected in many"	5	"ovarian cancer: 94.7;renal cancer: 23.9"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"MAIT T-cell: 1.0;non-classical monocyte: 1.4"	"Group enriched"	"Detected in many"	12	"monocytes: 1.4;T-cells: 1.0"	"Not detected"	"Not detected"							"CAB009523, HPA031847"	Enhanced		Approved	"Nucleoplasm,Nuclear membrane"		"Nucleoplasm, Nuclear membrane"		"CAB009523: AB_677577, HPA031847: "
ENSG00000136888	ATP6V1G1	"ATP6G, ATP6G1, ATP6GL, ATP6J, DKFZp547P234, Vma10"	"ATPase H+ transporting V1 subunit G1"	O75348	9	114587746-114598373	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Hydrogen ion transport, Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell line specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004615, HPA042898"	Supported		Approved	Nucleoplasm,Nucleoli		Nucleoli	Nucleoplasm	"CAB004615: AB_2258908, HPA042898: "
ENSG00000127152	BCL11B	"CTIP-2, CTIP2, hRIT1-alpha, ZNF856B"	"B cell CLL/lymphoma 11B"	Q9C0K0	14	99169287-99271524	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	Repressor	"Cancer-related genes, Disease mutation, Mental retardation, SCID"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 13.7;lymphoid tissue: 25.4;skin 1: 17.6"	"Cell line enriched"	"Detected in some"	6	"MOLT-4: 32.6"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"basal ganglia: 13.7"	"Group enriched"	"Detected in many"	8	"gdT-cell: 3.3;MAIT T-cell: 3.0;memory CD4 T-cell: 4.5;memory CD8 T-cell: 3.7;naive CD4 T-cell: 7.4;naive CD8 T-cell: 4.9;T-reg: 3.0"	"Lineage enriched"	"Detected in single"	14	"T-cells: 7.4"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA049117	Enhanced	Supported	Approved	"Nucleoplasm,Nucleoli fibrillar center"		Nucleoplasm	"Nucleoli fibrillar center"	"HPA049117: AB_2680639"
